Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,4788899.0,4877387.0,4971702.0,5067343.0,5162530.0,5255725.0,5347305.0,5442953.0,5544011.0,5649463.0,5761195.0,5875339.0,5993595.0,6120994.0,6250852.0,6376579.0,6491903.0,6603844.0,6710175.0,6711038.0,6430939.0,5726741.0,5163712.0,5081674.0,5219865.0,5345522.0,5301692.0,5226926.0,5246397.0,5380687.0,5377229.0,5384510.0,6019621.0,6964546.0,7651708.0,8087000.0,8379675.0,8665271.0,8959026.0,9284531.0,9380032.0,9420854.0,10031307.0,10811839.0,11254197.0,11738147.0,12331417.0,12433299.0,12630067.0,13239481.0,13722048.0,14437898.0,15286716.0,16000570.0,16802817.0,17485014.0,18038552.0,18706224.0,19401609.0,20127704.0,20957369.0,21722439.0,22404909.0
Albania,860262.0,880985.0,901816.0,923218.0,946272.0,971355.0,998344.0,1027517.0,1061209.0,1098019.0,1133706.0,1170473.0,1210344.0,1251182.0,1293783.0,1338552.0,1384060.0,1431424.0,1478214.0,1524705.0,1572194.0,1618587.0,1666404.0,1714016.0,1760965.0,1806483.0,1849298.0,1892829.0,1933503.0,1989469.0,2027747.0,2016781.0,2004866.0,1992321.0,1979487.0,1966765.0,1955476.0,1946725.0,1940715.0,1936964.0,1934786.0,1928110.0,1934852.0,1940739.0,1946550.0,1951717.0,1955295.0,1956736.0,1957585.0,1959562.0,1963578.0,1969436.0,1974096.0,1975006.0,1972967.0,1967517.0,1962501.0,1958423.0,1951044.0,1937930.0,1921404.0,1897426.0,1865176.0
Algeria,5824918.0,5869897.0,5905143.0,5943869.0,6001519.0,6072016.0,6172846.0,6313036.0,6471455.0,6640764.0,6813363.0,6989839.0,7175283.0,7373785.0,7589845.0,7871099.0,8201406.0,8501215.0,8793101.0,9112626.0,9454469.0,9818280.0,10205109.0,10615287.0,11049456.0,11508322.0,11985995.0,12442958.0,12880345.0,13329909.0,13789483.0,14250380.0,14710931.0,15182962.0,15668783.0,16176902.0,16727703.0,17309467.0,17887221.0,18466896.0,19055389.0,19637295.0,20206328.0,20759991.0,21301420.0,21799276.0,22287052.0,22796543.0,23293706.0,23777487.0,24238179.0,24667114.0,25063165.0,25412579.0,25723551.0,26021777.0,26311329.0,26594763.0,26884238.0,27191521.0,27520307.0,27878915.0,28275097.0
American Samoa,9725.0,10081.0,10499.0,10905.0,11295.0,11685.0,12064.0,12439.0,12836.0,13268.0,13705.0,14110.0,14493.0,14863.0,15238.0,15661.0,16138.0,16635.0,17140.0,17655.0,18286.0,19066.0,19907.0,20781.0,21687.0,22617.0,23568.0,24527.0,25492.0,26464.0,27284.0,27901.0,28471.0,29045.0,29630.0,30219.0,30810.0,31411.0,32006.0,32588.0,32997.0,33167.0,33248.0,33301.0,33351.0,33435.0,33542.0,33645.0,33710.0,33691.0,33669.0,33647.0,33521.0,33300.0,33003.0,32646.0,32236.0,31783.0,31297.0,30760.0,30184.0,29563.0,29039.0
Andorra,6261.0,6761.0,7275.0,7804.0,8348.0,8913.0,9525.0,10229.0,11022.0,11889.0,12837.0,13860.0,14951.0,16109.0,17319.0,18557.0,19811.0,21073.0,22323.0,23555.0,24780.0,26019.0,27309.0,28647.0,30006.0,31376.0,32826.0,34363.0,35910.0,37445.0,38959.0,40463.0,41960.0,43434.0,44876.0,46281.0,47067.0,47233.0,47362.0,47476.0,47593.0,48829.0,51195.0,53592.0,56003.0,58398.0,58718.0,57020.0,55375.0,53732.0,52106.0,51344.0,51422.0,51472.0,51536.0,51591.0,52153.0,53251.0,54305.0,55337.0,56310.0,57212.0,57663.0
Angola,2929489.0,2947964.0,2961986.0,2973027.0,2977902.0,2979781.0,2979149.0,2974713.0,2972783.0,2984176.0,3016293.0,3078554.0,3177354.0,3297878.0,3425952.0,3557944.0,3692342.0,3834326.0,3985406.0,4141958.0,4305938.0,4475608.0,4649566.0,4827914.0,5007427.0,5186536.0,5363036.0,5533925.0,5706137.0,5885334.0,6070230.0,6259500.0,6451763.0,6645549.0,6848699.0,7072670.0,7314252.0,7568942.0,7832100.0,8101048.0,8382476.0,8678285.0,8988627.0,9317374.0,9665698.0,10028973.0,10405837.0,10798883.0,11205663.0,11626985.0,12069114.0,12532842.0,13014212.0,13510168.0,14019670.0,14540242.0,15083377.0,15651045.0,16229250.0,16823353.0,17417386.0,18020088.0,18643225.0
Antigua and Barbuda,30736.0,31198.0,31501.0,31766.0,31892.0,31937.0,32040.0,32181.0,32383.0,32673.0,33130.0,33594.0,33891.0,34129.0,34407.0,34783.0,35257.0,35806.0,36391.0,36980.0,37555.0,38106.0,38634.0,39143.0,39495.0,39562.0,39480.0,39355.0,39179.0,38957.0,38733.0,39088.0,40082.0,41133.0,42175.0,43250.0,44344.0,45465.0,46598.0,47701.0,48744.0,49724.0,50669.0,51588.0,52527.0,53566.0,54658.0,55782.0,56946.0,58105.0,59233.0,60310.0,61317.0,62205.0,62954.0,63659.0,64268.0,64742.0,65183.0,65573.0,65896.0,66173.0,66416.0
Argentina,12965535.0,13176121.0,13394503.0,13615471.0,13835405.0,14055783.0,14280490.0,14508168.0,14737169.0,14965958.0,15195871.0,15423441.0,15650035.0,15876561.0,16099628.0,16308622.0,16500499.0,16690749.0,16883360.0,17078449.0,17277739.0,17487215.0,17709171.0,17941558.0,18182747.0,18433237.0,18697164.0,18974613.0,19265877.0,19568547.0,19875164.0,20181842.0,20491031.0,20804279.0,21122391.0,21442645.0,21761082.0,22075914.0,22388268.0,22700886.0,23012751.0,23325364.0,23640531.0,23956353.0,24273923.0,24597633.0,24926184.0,25253207.0,25581439.0,25914190.0,26042007.0,26389676.0,26719164.0,27038106.0,27356930.0,27672739.0,27986612.0,28304390.0,28630919.0,28967430.0,29320716.0,29693851.0,30065743.0
Armenia,1065003.0,1084104.0,1110028.0,1141666.0,1176181.0,1213050.0,1252477.0,1293679.0,1336979.0,1382568.0,1429922.0,1479701.0,1533590.0,1591875.0,1654160.0,1719660.0,1785020.0,1848668.0,1911643.0,1965237.0,2003188.0,2033269.0,2060425.0,2084784.0,2106181.0,2125242.0,2142880.0,2158898.0,2168513.0,2226061.0,2295587.0,2323527.0,2275848.0,2177798.0,2110297.0,2072659.0,2059711.0,2047301.0,2037893.0,2032635.0,2028347.0,2023610.0,2020464.0,2020686.0,2023892.0,2030355.0,2039899.0,2052254.0,2064467.0,2072039.0,2073112.0,2067618.0,2057353.0,2043485.0,2026872.0,2006933.0,1983725.0,1958831.0,1933718.0,1908739.0,1886737.0,1865265.0,1845507.0
Aruba,29759.0,30466.0,30940.0,31424.0,31924.0,32437.0,32952.0,33384.0,33688.0,33912.0,34083.0,34224.0,34636.0,35432.0,36373.0,37332.0,38187.0,38894.0,39496.0,40005.0,40396.0,40636.0,40959.0,41440.0,41898.0,42319.0,42671.0,42917.0,43092.0,43336.0,43821.0,44644.0,46002.0,47864.0,49909.0,52075.0,54305.0,56452.0,58508.0,60477.0,62215.0,63457.0,64311.0,65073.0,65794.0,66476.0,67133.0,67787.0,68443.0,69102.0,69879.0,70693.0,71335.0,71805.0,72123.0,72305.0,72392.0,72417.0,72394.0,72341.0,72171.0,72080.0,71975.0
Australia,6292375.0,6417818.0,6589642.0,6733296.0,6882453.0,7038353.0,7223348.0,7341981.0,7502007.0,7683920.0,7854797.0,8142939.0,8312505.0,8465462.0,8716702.0,8863079.0,8994679.0,9140881.0,9288752.0,9425006.0,9569000.0,9744907.0,9942754.0,10112198.0,10271131.0,10448204.0,10640853.0,10839764.0,11043284.0,11245929.0,11415078.0,11549946.0,11664387.0,11754306.0,11858713.0,11989636.0,12140698.0,12282166.0,12417030.0,12568636.0,12729175.0,12909312.0,13076482.0,13247817.0,13407531.0,13587612.0,13785404.0,14049608.0,14342140.0,14637328.0,14844429.0,15010632.0,15217504.0,15420332.0,15593448.0,15760132.0,15950251.0,16166021.0,16365890.0,16569868.0,16733580.0,16712026.0,16864971.0
Austria,4633265.0,4617690.0,4615737.0,4620920.0,4619535.0,4615259.0,4614238.0,4615958.0,4609383.0,4598618.0,4597890.0,4611662.0,4640698.0,4676463.0,4694173.0,4692362.0,4707837.0,4741844.0,4772679.0,4802105.0,4846328.0,4914857.0,4979548.0,5033355.0,5082055.0,5109326.0,5122590.0,5127529.0,5130120.0,5148524.0,5185162.0,5232760.0,5284193.0,5319765.0,5330400.0,5330655.0,5336622.0,5347896.0,5362014.0,5383919.0,5411062.0,5448046.0,5491630.0,5532119.0,5561678.0,5577847.0,5587256.0,5598503.0,5616074.0,5629260.0,5648587.0,5675763.0,5696737.0,5719020.0,5753902.0,5812079.0,5866325.0,5893061.0,5906977.0,5918009.0,5925020.0,5926351.0,5951329.0
Azerbaijan,2117537.0,2138015.0,2153874.0,2184304.0,2234676.0,2288852.0,2349004.0,2411103.0,2477595.0,2551401.0,2630556.0,2719209.0,2815403.0,2917254.0,3025569.0,3137636.0,3257870.0,3384785.0,3509347.0,3619922.0,3717330.0,3816488.0,3907709.0,3992855.0,4073600.0,4142664.0,4204463.0,4261248.0,4308814.0,4344766.0,4379814.0,4425539.0,4480951.0,4538789.0,4601677.0,4671653.0,4746739.0,4829451.0,4920011.0,5013501.0,5109845.0,5209603.0,5310291.0,5413099.0,5525064.0,5648279.0,5776611.0,5905867.0,6092006.0,6272038.0,6385040.0,6489844.0,6578456.0,6650675.0,6711491.0,6764283.0,6811714.0,6857549.0,6904446.0,6951369.0,6994975.0,7031387.0,7062691.0
Bahrain,87737.0,90748.0,93782.0,96848.0,100001.0,102704.0,104941.0,107392.0,110186.0,113295.0,116653.0,122251.0,131079.0,141399.0,152443.0,164065.0,176064.0,188259.0,200540.0,212842.0,225106.0,236264.0,246217.0,256230.0,266610.0,277302.0,288230.0,299236.0,310135.0,320827.0,331351.0,342500.0,355032.0,368847.0,383670.0,399308.0,415752.0,432988.0,450671.0,468325.0,485650.0,502617.0,519452.0,547197.0,597277.0,659164.0,721560.0,784181.0,847025.0,910042.0,939534.0,936359.0,950784.0,980619.0,1011194.0,1046911.0,1085892.0,1125298.0,1149269.0,1150279.0,1130322.0,1114044.0,1119746.0
Bangladesh,27580799.0,28283605.0,29006832.0,29713769.0,30404573.0,31136766.0,31915005.0,32732195.0,33582627.0,34411530.0,35166177.0,35460980.0,35793839.0,36608767.0,37466310.0,38384750.0,39321545.0,40270986.0,41248866.0,42210450.0,43208765.0,44318734.0,45563067.0,46920954.0,48343108.0,49787346.0,51237943.0,52723265.0,54260481.0,55824497.0,57447194.0,59072788.0,60732893.0,62491456.0,64330045.0,66209208.0,68086718.0,70033213.0,72044989.0,74085380.0,76134099.0,78139758.0,80071880.0,81921372.0,83745577.0,85497651.0,86933413.0,88216600.0,89351100.0,90580787.0,92256484.0,94116706.0,96129495.0,98276729.0,100454049.0,102575958.0,104744797.0,106941690.0,108985072.0,110894720.0,112816371.0,114687891.0,116383491.0
Barbados,132382.0,132197.0,131656.0,131223.0,130810.0,130591.0,130695.0,130996.0,131538.0,132451.0,133831.0,135642.0,137832.0,140283.0,142860.0,145542.0,148284.0,150957.0,153435.0,155641.0,157516.0,159054.0,160287.0,161276.0,162121.0,162922.0,163755.0,164655.0,165587.0,166469.0,167488.0,168861.0,170290.0,171504.0,172506.0,173315.0,174063.0,174813.0,175591.0,176373.0,177092.0,178066.0,179187.0,180271.0,181505.0,182834.0,184211.0,185449.0,186290.0,186726.0,187188.0,187801.0,188316.0,188759.0,189156.0,189546.0,189957.0,190183.0,190140.0,189881.0,189385.0,188748.0,188128.0
Belarus,5062078.0,5067318.0,5092670.0,5138878.0,5201296.0,5269217.0,5339693.0,5416041.0,5497755.0,5583821.0,5670538.0,5757119.0,5845610.0,5933748.0,6016587.0,6091668.0,6162558.0,6235602.0,6309561.0,6373827.0,6433061.0,6497624.0,6559648.0,6615168.0,6664046.0,6708456.0,6747852.0,6777834.0,6772472.0,6764680.0,6753198.0,6735186.0,6732524.0,6736330.0,6724125.0,6706225.0,6699206.0,6700414.0,6713022.0,6732601.0,6746976.0,6754627.0,6752560.0,6742926.0,6732526.0,6719466.0,6709131.0,6709208.0,6714272.0,6717245.0,6709807.0,6683135.0,6640107.0,6590587.0,6542450.0,6502346.0,6462580.0,6413187.0,6360836.0,6308566.0,6247755.0,6170451.0,6081401.0
Belgium,5889316.0,5886018.0,5893426.0,5924102.0,5963608.0,5998484.0,6020767.0,6039466.0,6057818.0,6074963.0,6081952.0,6096517.0,6128002.0,6161837.0,6204402.0,6250495.0,6293685.0,6331230.0,6364225.0,6399672.0,6442076.0,6487538.0,6537760.0,6590223.0,6629738.0,6646669.0,6651137.0,6654808.0,6666199.0,6674483.0,6673010.0,6673807.0,6679959.0,6689623.0,6697475.0,6698372.0,6697743.0,6701076.0,6705137.0,6713345.0,6723820.0,6743920.0,6774608.0,6805014.0,6836408.0,6881331.0,6944194.0,7013018.0,7073628.0,7123379.0,7176760.0,7249661.0,7267828.0,7277628.0,7285273.0,7306314.0,7325397.0,7333843.0,7346245.0,7366035.0,7384578.0,7407296.0,7437789.0
